id,chinese,english,theme id,complexity rating,root question id
265,我考慮買樓，但係要先儲夠首期。,"I’m considering buying a house, but I need to save up for the down payment first.",13,3,257
266,我未決定，睇下情況點。,I haven’t decided yet; it depends on the situation.,13,1,257
267,有呀，但價錢都唔算平。,"Yes, but the price is not cheap.",13,2,258
268,唔係好多選擇，成日都好快就賣出。,"There aren’t many choices, and they sell out quickly.",13,2,258
269,有幾個，但有啲有問題，唔係咁理想。,"There are a few, but some have issues and aren’t that ideal.",13,3,258
270,我覺得係貴，尤其係對於呢個區域。,"I think it’s expensive, especially for this area.",13,2,259
271,唔算貴，但亦唔算平。,"It’s not cheap, but it’s not too expensive either.",13,2,259
272,貴，對比其他地方嚟講都唔係咁值。,"It’s expensive, and it’s not as worth it compared to other places.",13,3,259
273,我會請人幫手，因為自己唔識做。,I usually get someone to help because I don’t know how to do it myself.,13,3,260
274,我自己處理簡單嘅維修，嚴重嘅就找專業嘅人。,"I handle simple repairs myself, but I call a professional for major issues.",13,2,260
275,我會定期檢查，確保冇問題。,I check regularly to make sure there are no issues.,13,2,260
276,你知唔知幾時有班車嚟？,Do you know when the next bus is coming?,14,2,NULL
277,去機場最近嘅地鐵站係邊個？,Which is the nearest subway station to the airport?,14,2,NULL
278,你搭的士定係自駕比較方便？,Is it more convenient to take a taxi or drive yourself?,14,2,NULL
279,呢個車站有冇長途巴士？,Does this station have long-distance buses?,14,3,NULL
280,如果我想去呢個地方，最好的交通方式係咩？,What’s the best way to get to this place?,14,3,NULL
281,我唔係好肯定，但係你可以睇下個時刻表。,"I’m not sure, but you could check the schedule.",14,2,276
282,應該幾分鐘後就會嚟啦。,It should arrive in a few minutes.,14,2,276
283,可能要等十多分鐘。,You might have to wait around ten minutes.,14,2,276
284,就係第七號站，出面有個大廣場。,It’s at station number 7; there’s a big plaza outside.,14,3,277
285,係三號線嘅終點站，你搭到之後就唔難搵到。,"It’s the last stop on line 3, and it’s easy to find once you get there.",14,3,277
286,嗰個係最近嘅，不過有時都幾擠。,"That’s the nearest one, but it can be quite crowded sometimes.",14,2,277
287,我覺得自駕會比較方便，尤其係你有行李嘅時候。,"I think driving is more convenient, especially if you have luggage.",14,3,278
288,的士都唔錯，唔需要停車。,Taking a taxi is also good since you don’t have to park.,14,2,278
289,如果唔係高峰時段，自駕會更快。,"If it’s not peak hour, driving is faster.",14,2,278
290,有，長途巴士係二號月台。,"Yes, the long-distance buses are at platform 2.",14,3,279
291,係呀，有啲車會直達其他城市。,"Yes, there are buses that go directly to other cities.",14,2,279
292,但係最好查清楚時刻表，因為唔係每班都會行。,"But it’s best to check the schedule, as not every bus runs.",14,2,279
293,其實搭地鐵最方便，會快啲。,The subway is actually the most convenient; it’s faster.,14,3,280
294,你可以考慮搭專車或者的士，唔使擔心停車位。,You could consider taking a ride-share or taxi; no need to worry about parking.,14,2,280
295,我建議你搭巴士，因為可以欣賞沿途風景。,I suggest taking the bus as you can enjoy the scenery along the way.,14,2,280
296,你知唔知點樣申請身份證？,Do you know how to apply for an ID card?,15,3,NULL
297,我需要提供咩文件嚟辦理護照？,What documents do I need to apply for a passport?,15,3,NULL
298,點樣報稅係最簡單嘅方法？,What’s the easiest way to file taxes?,15,3,NULL
299,你有冇試過申請工作簽證？,Have you ever applied for a work visa?,15,3,NULL
300,如果我想申請一個營業執照，應該去邊度？,Where should I go to apply for a business license?,15,3,NULL
301,你可以去政府網站填寫申請表，或者親自去辦公室提交。,You can fill out the application form on the government website or submit it in person at the office.,15,3,296
302,申請程序都幾簡單，記得準備好相片同埋住址證明。,The application process is quite simple; just make sure to have a photo and proof of address ready.,15,3,296
303,如果唔係好熟，建議找個人幫你填表。,"If you’re not familiar with it, I suggest asking someone to help you fill out the form.",15,2,296
304,通常需要提供身份證、相片同埋一啲地址證明。,"Typically, you’ll need to provide your ID, a photo, and some proof of address.",15,3,297
305,你最好先查清楚最新嘅要求，因為政策有時會改。,"It’s best to check the latest requirements, as policies can change.",15,2,297
306,可以上網預約時間，或者直接去領事館辦理。,You can book an appointment online or go directly to the consulate to process it.,15,3,297
307,使用網上報稅系統係最方便嘅，唔駛排隊。,Using the online tax filing system is the most convenient; no need to wait in line.,15,3,298
308,你可以請會計師幫手，特別係報複雜嘅稅。,"You can ask an accountant for help, especially for more complicated tax filings.",15,2,298
309,報稅前記住準備好所有發票同埋收據。,Make sure to have all your invoices and receipts ready before filing your taxes.,15,2,298
310,我試過一次，手續都幾繁複，要提供好多資料。,"I’ve tried it once, and the process is quite complex; you need to provide a lot of information.",15,3,299
311,申請時最好有律師幫手，以免錯過咩重要文件。,It’s best to have a lawyer assist you when applying to avoid missing any important documents.,15,2,299
312,你可以上網睇下相關指引，睇清楚申請流程。,You can check the relevant guidelines online to understand the application process.,15,2,299
313,一般來講，你可以去當地的市政廳申請。,"Generally, you can go to the local town hall to apply.",15,3,300
314,需要提交營業計劃書同埋其他財務文件。,You’ll need to submit a business plan and other financial documents.,15,2,300
315,記得查清楚要繳交嘅手續費同申請時間。,Make sure to check the application fee and processing time.,15,2,300
316,有哪些好的预算策略？,What are some good strategies for budgeting?,16,4,NULL
317,你通常如何跟踪开支？,How do you usually track your expenses?,16,3,NULL
318,你最近考虑过任何投资吗？,Have you considered any investments recently?,16,3,NULL
319,你认为尽早为退休储蓄重要吗？,Do you think it's important to save for retirement early?,16,3,NULL
320,你收到过的最佳财务建议是什么？,What’s the best financial advice you’ve received?,16,3,NULL
321,先将开支分为需要和想要的类别。,Start by categorizing your expenses into needs and wants.,16,3,316
322,使用50/30/20规则：50%用于需求，30%用于想要，20%用于储蓄。,"Use the 50/30/20 rule for budgeting: 50% needs, 30% wants, and 20% savings.",16,3,316
323,定期审查预算并根据需要进行调整。,Regularly review your budget to make adjustments as needed.,16,3,316
324,我用手机应用记录每一笔交易。,I use a mobile app to log every transaction I make.,16,3,317
325,我用电子表格记录每月的开支。,I maintain a simple spreadsheet for my monthly expenses.,16,3,317
326,我在银行账户中设置了超支提醒。,I set alerts on my bank account for when I overspend.,16,3,317
327,是的，我最近在研究共同基金。,"Yes, I’ve been researching mutual funds lately.",16,3,318
328,最近没有，但我正在考虑从ETF开始。,"Not recently, but I’m thinking of starting with ETFs.",16,3,318
329,我正在研究房地产投资。,I’m currently looking into real estate investments.,16,3,318
330,当然，复利随着时间推移效果更好。,"Absolutely, compound interest works better over time.",16,3,319
331,这取决于你的目标，但尽早开始通常是明智的。,"It depends on your goals, but starting early is usually wise.",16,3,319
332,我认为平衡当前需求和未来储蓄很重要。,I believe it’s important to balance current needs with future savings.,16,3,319
333,开支少于收入，并存下差额。,"Spend less than you earn, and save the difference.",16,3,320
334,分散投资以降低风险。,Diversify your investments to minimize risk.,16,3,320
335,始终留有应急资金以备意外之需。,Always have emergency funds in case of unexpected needs.,16,3,320
